scenario,description,q_cohort,q_fraction,trades,win_rate,mean_r,median_r,profit_factor,max_drawdown_r,trade_sharpe,dsr,mean_r_cost_1_25x,mean_r_cost_1_50x,first_half_n,second_half_n,first_half_mean_r,second_half_mean_r,temporal_gap_r,long_n,short_n,sectors_with_30_trades,top_sector,top_sector_trades,morning_trades,midday_trades,afternoon_trades,target_exit_rate,stop_exit_rate,time_exit_rate,focused_survives,strict_ready
morning_midday,Block afternoon; keep morning plus midday,top_5pct,0.05,13,0.6923076923076923,0.7144216370122236,1.3594588724021488,3.6836981093031262,-2.9271447650192806,0.5659581500589437,3.451826598360852e-15,0.6434175801017378,0.5724135231912517,10,3,0.8023076091330228,0.4214683966095601,0.3808392125234627,11,2,0,IT,10,11,2,0,0.5384615384615384,0.07692307692307693,0.38461538461538464,False,False
long_morning_midday_ex_banking_it,"Long-only, block afternoon, exclude BANKING and IT",top_5pct,0.05,10,0.5,0.6996509882968546,0.41624260722062534,3.0030132946427375,-2.2438368235620274,0.4348138506709827,1.3323673586350173e-17,0.6318835440300049,0.564116099763155,2,8,0.2261311745150768,0.8180309417422991,0.5918997672272223,10,0,0,PHARMA,10,8,2,0,0.4,0.2,0.4,False,False
long_morning_midday,"Long-only, block afternoon",top_50pct,0.5,116,0.6293103448275862,0.6927038039462821,1.0735685874880498,2.9718872882828875,-13.942653229167313,0.49407301837014395,1.0808663449792778e-160,0.6204628625501066,0.5482219211539312,31,85,1.1195755831859875,0.5370211550470952,0.5825544281388922,116,0,1,PHARMA,67,102,14,0,0.46551724137931033,0.2413793103448276,0.29310344827586204,False,False
long_morning_ex_banking_it,"Long-only morning, exclude BANKING and IT",top_50pct,0.5,84,0.6190476190476191,0.6620366699534931,1.0322386114054538,2.8878539131039362,-13.942653229167316,0.4715508056209587,7.102166511484928e-123,0.5890883468753741,0.5161400237972552,21,63,1.2330410719122924,0.47170186930056,0.7613392026117324,84,0,1,PHARMA,54,84,0,0,0.4166666666666667,0.2619047619047619,0.32142857142857145,False,False
long_morning_midday,"Long-only, block afternoon",top_10pct,0.1,24,0.5416666666666666,0.6391711392086274,1.102297879232197,2.7454355197703944,-5.537813749655205,0.44109139513442464,2.421886129354041e-38,0.5721717109983552,0.5051722827880828,11,13,0.9099061618000988,0.41008765855430557,0.4998185032457932,24,0,0,PHARMA,14,20,4,0,0.5,0.125,0.375,False,False
long_only,Only pool-side UP/long trades,top_5pct,0.05,28,0.75,0.6333266811900774,0.7849642662336704,4.53307503894569,-3.389204984330525,0.616966814554259,5.176661760509422e-34,0.5424015455887867,0.45147640998749605,19,9,0.6963847085947849,0.5002041788912507,0.19618052970353417,28,0,0,IT,21,12,0,16,0.4642857142857143,0.07142857142857142,0.4642857142857143,False,False
morning_midday,Block afternoon; keep morning plus midday,top_50pct,0.5,123,0.6097560975609756,0.6271990608341237,1.0096637107774216,2.659283337356767,-13.942653229167313,0.4412235994272863,6.824228172012916e-185,0.5541061510632098,0.48101324129229617,31,92,1.1195755831859875,0.46128958047643026,0.6582860027095572,118,5,1,PHARMA,69,106,17,0,0.44715447154471544,0.2601626016260163,0.2926829268292683,False,False
banking_only,BANKING sector only,top_5pct,0.05,3,0.3333333333333333,0.5915971868510379,-0.045354512824156534,4.169813596143035,-0.5145495656720187,0.38725004440523264,6.918299635474217e-09,0.47365414535321565,0.35571110385539345,2,1,-0.27995203924808765,2.334695639049289,2.6146476782973767,3,0,0,BANKING,3,2,0,1,0.3333333333333333,0.0,0.6666666666666666,False,False
morning_midday,Block afternoon; keep morning plus midday,top_10pct,0.1,25,0.56,0.5840377095780042,0.8451368860622449,2.510148609095054,-4.837013822429888,0.39831085915221653,4.2240660336424613e-41,0.5131008439780993,0.44216397837819454,11,14,0.9099061618000988,0.32799821140350127,0.5819079503965975,23,2,0,PHARMA,13,19,6,0,0.48,0.16,0.36,False,False
auto_only,AUTO sector only,all,1.0,194,0.654639175257732,0.571780165611965,0.6566120253766098,2.879348891280644,-14.919263571708242,0.4497322189055372,1.6013163926884395e-296,0.4768919697646255,0.382003773917286,125,69,0.5511508925006781,0.6091520371903834,0.0580011446897053,193,1,1,AUTO,194,72,3,119,0.29381443298969073,0.16494845360824742,0.5412371134020618,False,False
